NAME                             STATUS     COMPLETIONS   DURATION   AGE
predictive-autoscaler-29667410   Failed     0/1           6d22h      6d22h
predictive-autoscaler-29667415   Failed     0/1           6d22h      6d22h
predictive-autoscaler-29667420   Failed     0/1           6d22h      6d22h
predictive-autoscaler-29676980   Complete   1/1           4m44s      7h16m
predictive-autoscaler-29676985   Complete   1/1           2m46s      7h11m
predictive-autoscaler-29676990   Complete   1/1           3m47s      7h6m
predictive-autoscaler-29676995   Complete   1/1           2m40s      7h1m
predictive-autoscaler-29677000   Complete   1/1           4m25s      6h56m
predictive-autoscaler-29677005   Complete   1/1           2m54s      6h51m
predictive-autoscaler-29677010   Complete   1/1           4m58s      6h46m
predictive-autoscaler-29677015   Complete   1/1           2m44s      6h41m
predictive-autoscaler-29677020   Complete   1/1           4m39s      6h36m
predictive-autoscaler-29677025   Complete   1/1           4m31s      6h31m
predictive-autoscaler-29677030   Complete   1/1           2m13s      6h26m
predictive-autoscaler-29677035   Complete   1/1           4m51s      6h21m
predictive-autoscaler-29677040   Complete   1/1           2m24s      6h16m
predictive-autoscaler-29677045   Complete   1/1           4m25s      6h11m
predictive-autoscaler-29677050   Complete   1/1           3m10s      6h6m
predictive-autoscaler-29677055   Complete   1/1           3m35s      6h1m
predictive-autoscaler-29677060   Complete   1/1           3m23s      5h56m
predictive-autoscaler-29677065   Complete   1/1           4m35s      5h51m
predictive-autoscaler-29677070   Complete   1/1           4m26s      5h46m
predictive-autoscaler-29677075   Complete   1/1           4m43s      5h41m
predictive-autoscaler-29677080   Complete   1/1           4m9s       5h36m
predictive-autoscaler-29677085   Complete   1/1           4m40s      5h31m
predictive-autoscaler-29677090   Complete   1/1           4m21s      5h26m
predictive-autoscaler-29677095   Complete   1/1           2m44s      5h21m
predictive-autoscaler-29677100   Complete   1/1           4m43s      5h16m
predictive-autoscaler-29677105   Complete   1/1           3m5s       5h11m
predictive-autoscaler-29677110   Complete   1/1           4m39s      5h6m
predictive-autoscaler-29677115   Complete   1/1           4m35s      5h1m
predictive-autoscaler-29677120   Complete   1/1           2m53s      4h56m
predictive-autoscaler-29677125   Complete   1/1           3m18s      4h51m
predictive-autoscaler-29677130   Complete   1/1           105s       4h46m
predictive-autoscaler-29677135   Complete   1/1           4m35s      4h41m
predictive-autoscaler-29677140   Complete   1/1           2m35s      4h36m
predictive-autoscaler-29677145   Complete   1/1           4m25s      4h31m
predictive-autoscaler-29677150   Complete   1/1           4m47s      4h26m
predictive-autoscaler-29677155   Complete   1/1           4m42s      4h21m
predictive-autoscaler-29677160   Complete   1/1           3m42s      4h16m
predictive-autoscaler-29677165   Complete   1/1           4m12s      4h11m
predictive-autoscaler-29677170   Complete   1/1           5m         4h6m
predictive-autoscaler-29677175   Complete   1/1           3m58s      4h1m
predictive-autoscaler-29677180   Complete   1/1           4m25s      3h56m
predictive-autoscaler-29677185   Complete   1/1           4m47s      3h51m
predictive-autoscaler-29677190   Complete   1/1           4m57s      3h46m
predictive-autoscaler-29677195   Complete   1/1           3m38s      3h41m
predictive-autoscaler-29677200   Complete   1/1           4m40s      3h36m
predictive-autoscaler-29677205   Complete   1/1           3m19s      3h31m
predictive-autoscaler-29677210   Complete   1/1           2m20s      3h26m
predictive-autoscaler-29677215   Complete   1/1           5m1s       3h21m
predictive-autoscaler-29677220   Complete   1/1           2m38s      3h16m
predictive-autoscaler-29677225   Complete   1/1           2m38s      3h11m
predictive-autoscaler-29677230   Complete   1/1           3m14s      3h6m
predictive-autoscaler-29677235   Complete   1/1           4m24s      3h1m
predictive-autoscaler-29677240   Complete   1/1           2m35s      176m
predictive-autoscaler-29677245   Complete   1/1           3m55s      171m
predictive-autoscaler-29677250   Complete   1/1           2m46s      166m
predictive-autoscaler-29677255   Complete   1/1           4m55s      161m
predictive-autoscaler-29677260   Complete   1/1           3m22s      156m
predictive-autoscaler-29677265   Complete   1/1           4m6s       151m
predictive-autoscaler-29677270   Complete   1/1           2m55s      146m
predictive-autoscaler-29677275   Complete   1/1           4m27s      141m
