LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
35m         Normal    SuccessfulCreate    replicaset/load-generator-bd586c8df    Created pod: load-generator-bd586c8df-njc9r
35m         Normal    SuccessfulCreate    replicaset/load-generator-bd586c8df    Created pod: load-generator-bd586c8df-2xwbc
35m         Normal    ScalingReplicaSet   deployment/load-generator              Scaled up replica set load-generator-bd586c8df from 0 to 3
35m         Normal    ScalingReplicaSet   deployment/load-generator              Scaled down replica set load-generator-fd74b4d9 from 10 to 8
35m         Normal    SuccessfulDelete    replicaset/load-generator-fd74b4d9     Deleted pod: load-generator-fd74b4d9-zj699
35m         Normal    SuccessfulDelete    replicaset/load-generator-fd74b4d9     Deleted pod: load-generator-fd74b4d9-7h5zt
35m         Normal    Killing             pod/load-generator-fd74b4d9-zj699      Stopping container stressor
35m         Normal    Killing             pod/load-generator-fd74b4d9-7h5zt      Stopping container stressor
35m         Normal    ScalingReplicaSet   deployment/load-generator              Scaled up replica set load-generator-bd586c8df from 3 to 5
35m         Normal    Scheduled           pod/load-generator-bd586c8df-njc9r     Successfully assigned research-workload/load-generator-bd586c8df-njc9r to gke-research-autoscaler-default-pool-cc6226da-q6sy
35m         Normal    SuccessfulCreate    replicaset/load-generator-bd586c8df    Created pod: load-generator-bd586c8df-rxp9z
35m         Normal    SuccessfulCreate    replicaset/load-generator-bd586c8df    Created pod: load-generator-bd586c8df-bww42
35m         Normal    SuccessfulCreate    replicaset/load-generator-bd586c8df    Created pod: load-generator-bd586c8df-hjnx8
35m         Normal    Scheduled           pod/load-generator-bd586c8df-bww42     Successfully assigned research-workload/load-generator-bd586c8df-bww42 to gke-research-autoscaler-default-pool-cc6226da-q6sy
35m         Normal    Scheduled           pod/load-generator-bd586c8df-2xwbc     Successfully assigned research-workload/load-generator-bd586c8df-2xwbc to gke-research-autoscaler-default-pool-cc6226da-1r4g
35m         Normal    Scheduled           pod/load-generator-bd586c8df-hjnx8     Successfully assigned research-workload/load-generator-bd586c8df-hjnx8 to gke-research-autoscaler-default-pool-cc6226da-1lgg
35m         Normal    Scheduled           pod/load-generator-bd586c8df-rxp9z     Successfully assigned research-workload/load-generator-bd586c8df-rxp9z to gke-research-autoscaler-default-pool-cc6226da-1lgg
35m         Normal    Pulling             pod/load-generator-bd586c8df-bww42     Pulling image "alexeiled/stress-ng:latest"
35m         Normal    Pulled              pod/load-generator-bd586c8df-rxp9z     Successfully pulled image "alexeiled/stress-ng:latest" in 306ms (306ms including waiting). Image size: 3939132 bytes.
35m         Normal    Created             pod/load-generator-bd586c8df-hjnx8     Container created
35m         Normal    Pulled              pod/load-generator-bd586c8df-hjnx8     Successfully pulled image "alexeiled/stress-ng:latest" in 309ms (309ms including waiting). Image size: 3939132 bytes.
35m         Normal    Pulling             pod/load-generator-bd586c8df-hjnx8     Pulling image "alexeiled/stress-ng:latest"
35m         Normal    Pulling             pod/load-generator-bd586c8df-njc9r     Pulling image "alexeiled/stress-ng:latest"
35m         Normal    Pulled              pod/load-generator-bd586c8df-bww42     Successfully pulled image "alexeiled/stress-ng:latest" in 985ms (985ms including waiting). Image size: 3939132 bytes.
