LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
8m13s       Warning   FailedScheduling    pod/load-generator-55c4597646-ntg94    0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
8m13s       Normal    Scheduled           pod/load-generator-55c4597646-ntg94    Successfully assigned research-workload/load-generator-55c4597646-ntg94 to gke-research-autoscaler-default-pool-0298af38-t9t3
33m         Warning   FailedScheduling    pod/load-generator-bd586c8df-f9cns     0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
33m         Warning   FailedScheduling    pod/load-generator-bd586c8df-f9cns     0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
33m         Normal    Scheduled           pod/load-generator-bd586c8df-f9cns     Successfully assigned research-workload/load-generator-bd586c8df-f9cns to gke-research-autoscaler-default-pool-0298af38-t9t3
33m         Warning   FailedScheduling    pod/load-generator-bd586c8df-hsmqn     0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
33m         Normal    Scheduled           pod/load-generator-bd586c8df-hsmqn     Successfully assigned research-workload/load-generator-bd586c8df-hsmqn to gke-research-autoscaler-default-pool-0298af38-pltp
33m         Warning   FailedScheduling    pod/load-generator-bd586c8df-jfx47     0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
33m         Normal    Scheduled           pod/load-generator-bd586c8df-jfx47     Successfully assigned research-workload/load-generator-bd586c8df-jfx47 to gke-research-autoscaler-default-pool-0298af38-pltp
8m19s       Normal    Scheduled           pod/load-generator-55c4597646-62gxt    Successfully assigned research-workload/load-generator-55c4597646-62gxt to gke-research-autoscaler-default-pool-0298af38-t9t3
33m         Warning   FailedScheduling    pod/load-generator-bd586c8df-lhnpx     0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
33m         Warning   FailedScheduling    pod/load-generator-bd586c8df-lhnpx     0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
8m19s       Normal    Scheduled           pod/load-generator-55c4597646-xbsgs    Successfully assigned research-workload/load-generator-55c4597646-xbsgs to gke-research-autoscaler-default-pool-0298af38-pltp
59m         Normal    Scheduled           pod/load-generator-fd74b4d9-zrppm      Successfully assigned research-workload/load-generator-fd74b4d9-zrppm to gke-research-autoscaler-default-pool-0298af38-t9t3
59m         Normal    Scheduled           pod/load-generator-fd74b4d9-s4b2g      Successfully assigned research-workload/load-generator-fd74b4d9-s4b2g to gke-research-autoscaler-default-pool-0298af38-pltp
8m19s       Warning   FailedScheduling    pod/load-generator-55c4597646-98ndq    0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
59m         Warning   FailedScheduling    pod/load-generator-fd74b4d9-s4b2g      0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
8m18s       Warning   FailedScheduling    pod/load-generator-55c4597646-98ndq    0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
33m         Normal    Scheduled           pod/load-generator-bd586c8df-lhnpx     Successfully assigned research-workload/load-generator-bd586c8df-lhnpx to gke-research-autoscaler-default-pool-0298af38-pltp
33m         Warning   FailedScheduling    pod/load-generator-bd586c8df-mhqk5     0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
59m         Warning   FailedScheduling    pod/load-generator-fd74b4d9-s4b2g      0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
58m         Normal    Scheduled           pod/load-generator-fd74b4d9-qcgd6      Successfully assigned research-workload/load-generator-fd74b4d9-qcgd6 to gke-research-autoscaler-default-pool-0298af38-t9t3
58m         Warning   FailedScheduling    pod/load-generator-fd74b4d9-qcgd6      0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
33m         Warning   FailedScheduling    pod/load-generator-bd586c8df-mhqk5     0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
8m19s       Normal    Scheduled           pod/load-generator-55c4597646-bkhsq    Successfully assigned research-workload/load-generator-55c4597646-bkhsq to gke-research-autoscaler-default-pool-0298af38-t9t3
58m         Warning   FailedScheduling    pod/load-generator-fd74b4d9-qcgd6      0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
58m         Normal    Scheduled           pod/load-generator-fd74b4d9-pdqkw      Successfully assigned research-workload/load-generator-fd74b4d9-pdqkw to gke-research-autoscaler-default-pool-0298af38-pltp
58m         Warning   FailedScheduling    pod/load-generator-fd74b4d9-pdqkw      0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
58m         Warning   FailedScheduling    pod/load-generator-fd74b4d9-pdqkw      0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
8m15s       Warning   FailedScheduling    pod/load-generator-55c4597646-2xpdh    0/3 nodes are available: 3 Insufficient memory. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
